specialty_name,diagnosis_name,frequency,is_core_disease,disease_role,review_status,notes
内分泌/代谢,"Hypothyroidism, unspecified",926,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,"Obesity, unspecified",833,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,"Hyperlipidemia, unspecified",723,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Nutritional marasmus,457,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Type 2 diabetes mellitus without complications,302,0,背景共病,降级保留,术后/并发症/过程性疾病，降级为背景共病
内分泌/代谢,Other severe protein-calorie malnutrition,221,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Hypo-osmolality and hyponatremia,196,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Morbid (severe) obesity due to excess calories,193,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Hypokalemia,188,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Other disorders of phosphorus metabolism,178,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,"Vitamin D deficiency, unspecified",168,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Acidosis,140,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
内分泌/代谢,Dehydration,139,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
内分泌/代谢,Postprocedural hypothyroidism,125,0,背景共病,降级保留,术后/并发症/过程性疾病，降级为背景共病
内分泌/代谢,Polycystic ovarian syndrome,122,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
内分泌/代谢,Type 2 diabetes mellitus with hyperglycemia,89,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Hypomagnesemia,87,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
内分泌/代谢,Unspecified severe protein-calorie malnutrition,87,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,"Pure hypercholesterolemia, unspecified",83,1,核心病种,保留,命中专科核心病种关键词
内分泌/代谢,Type 1 diabetes mellitus with ketoacidosis without coma,74,1,核心病种,保留,命中专科核心病种关键词
